time,acc,light,moderate-vigorous,sedentary,sleep,CpSB,CpLPA,CpMPA,CpVPA,CpMVPA,MET
2025-01-01 00:22:30.000+0000 [UTC],29.531,1,0,0,0,0,1,0,0,0,2.541718
2025-01-01 00:23:00.000+0000 [UTC],14.066,0,0,1,0,1,0,0,0,0,1.563492
2025-01-01 00:23:30.000+0000 [UTC],12.801,0,0,1,0,1,0,0,0,0,1.563492
2025-01-01 00:24:00.000+0000 [UTC],22.235,0,0,1,0,1,0,0,0,0,1.563492
2025-01-01 00:24:30.000+0000 [UTC],15.983,0,0,1,0,1,0,0,0,0,1.563492
2025-01-01 00:25:00.000+0000 [UTC],7.06,0,0,0,1,0,0,0,0,0,0.951234
2025-01-01 00:25:30.000+0000 [UTC],45.367,1,0,0,0,0,1,0,0,0,2.026901
2025-01-01 00:26:00.000+0000 [UTC],4.33,0,0,0,1,0,0,0,0,0,0.951234
2025-01-01 00:26:30.000+0000 [UTC],4.193,0,0,0,1,0,0,0,0,0,0.951234
2025-01-01 00:27:00.000+0000 [UTC],20.159,0,0,1,0,1,0,0,0,0,1.563492
2025-01-01 00:27:30.000+0000 [UTC],3.09,0,0,0,1,0,0,0,0,0,0.951234
2025-01-01 00:28:00.000+0000 [UTC],7.572,0,0,1,0,1,0,0,0,0,1.563492
2025-01-01 00:28:30.000+0000 [UTC],16.335,0,0,1,0,1,0,0,0,0,1.563492
2025-01-01 00:29:00.000+0000 [UTC],19.448,0,0,1,0,1,0,0,0,0,1.563492
2025-01-01 00:29:30.000+0000 [UTC],15.411,0,0,1,0,1,0,0,0,0,1.563492
2025-01-01 00:30:00.000+0000 [UTC],20.327,0,0,1,0,1,0,0,0,0,1.563492
2025-01-01 00:30:30.000+0000 [UTC],12.414,0,0,1,0,1,0,0,0,0,1.563492
2025-01-01 00:31:00.000+0000 [UTC],121.85,0,1,0,0,0,0,1,0,1,4.820786
2025-01-01 00:31:30.000+0000 [UTC],22.047,0,0,1,0,1,0,0,0,0,1.563492
2025-01-01 00:32:00.000+0000 [UTC],26.494,0,0,1,0,1,0,0,0,0,1.563492
2025-01-01 00:32:30.000+0000 [UTC],13.186,0,0,1,0,1,0,0,0,0,1.563492
2025-01-01 00:33:00.000+0000 [UTC],12.772,0,0,1,0,1,0,0,0,0,1.563492
2025-01-01 00:33:30.000+0000 [UTC],132.864,0,1,0,0,0,0,1,0,1,4.694052
2025-01-01 00:34:00.000+0000 [UTC],22.267,0,0,1,0,1,0,0,0,0,1.563492
2025-01-01 00:34:30.000+0000 [UTC],5.847,0,0,0,1,0,0,0,0,0,0.951234
2025-01-01 00:35:00.000+0000 [UTC],51.857,1,0,0,0,0,1,0,0,0,2.259153
2025-01-01 00:35:30.000+0000 [UTC],22.898,0,0,1,0,1,0,0,0,0,1.563492
2025-01-01 00:36:00.000+0000 [UTC],12.386,0,0,1,0,1,0,0,0,0,1.563492
2025-01-01 00:36:30.000+0000 [UTC],140.793,0,1,0,0,0,0,0,0,0,3.229939
2025-01-01 00:37:00.000+0000 [UTC],47.19,1,0,0,0,0,1,0,0,0,2.477808
2025-01-01 00:37:30.000+0000 [UTC],49.96,1,0,0,0,0,1,0,0,0,2.4773
2025-01-01 00:38:00.000+0000 [UTC],32.432,1,0,0,0,0,1,0,0,0,3.091763
2025-01-01 00:38:30.000+0000 [UTC],12.899,0,0,1,0,1,0,0,0,0,1.563492
2025-01-01 00:39:00.000+0000 [UTC],13.591,0,0,1,0,1,0,0,0,0,1.563492
2025-01-01 00:39:30.000+0000 [UTC],8.278,0,0,1,0,1,0,0,0,0,1.563492
2025-01-01 00:40:00.000+0000 [UTC],9.125,0,0,0,1,0,0,0,0,0,0.951234
2025-01-01 00:40:30.000+0000 [UTC],25.782,1,0,0,0,0,1,0,0,0,2.084204
2025-01-01 00:41:00.000+0000 [UTC],10.407,0,0,1,0,1,0,0,0,0,1.563492
2025-01-01 00:41:30.000+0000 [UTC],9.979,0,0,1,0,1,0,0,0,0,1.563492
2025-01-01 00:42:00.000+0000 [UTC],11.161,0,0,1,0,1,0,0,0,0,1.563492
2025-01-01 00:42:30.000+0000 [UTC],14.827,0,0,1,0,1,0,0,0,0,1.563492
2025-01-01 00:43:00.000+0000 [UTC],55.013,1,0,0,0,0,1,0,0,0,2.651677
2025-01-01 00:43:30.000+0000 [UTC],36.773,1,0,0,0,0,1,0,0,0,2.946734
2025-01-01 00:44:00.000+0000 [UTC],2.865,0,0,0,1,0,0,0,0,0,0.951234
2025-01-01 00:44:30.000+0000 [UTC],16.171,0,0,1,0,1,0,0,0,0,1.563492
2025-01-01 00:45:00.000+0000 [UTC],22.753,0,0,1,0,1,0,0,0,0,1.563492
2025-01-01 00:45:30.000+0000 [UTC],37.492,1,0,0,0,0,1,0,0,0,3.181435
2025-01-01 00:46:00.000+0000 [UTC],53.282,1,0,0,0,0,1,0,0,0,2.378681
2025-01-01 00:46:30.000+0000 [UTC],10.008,0,0,1,0,1,0,0,0,0,1.563492
2025-01-01 00:47:00.000+0000 [UTC],45.562,1,0,0,0,0,1,0,0,0,2.647429
2025-01-01 00:47:30.000+0000 [UTC],19.922,0,0,1,0,1,0,0,0,0,1.563492
2025-01-01 00:48:00.000+0000 [UTC],13.93,0,0,1,0,1,0,0,0,0,1.563492
2025-01-01 00:48:30.000+0000 [UTC],14.753,0,0,1,0,1,0,0,0,0,1.563492
2025-01-01 00:49:00.000+0000 [UTC],18.374,0,0,1,0,1,0,0,0,0,1.563492
2025-01-01 00:49:30.000+0000 [UTC],9.386,0,0,1,0,1,0,0,0,0,1.563492
2025-01-01 00:50:00.000+0000 [UTC],16.912,0,0,1,0,1,0,0,0,0,1.563492
2025-01-01 00:50:30.000+0000 [UTC],44.559,1,0,0,0,0,1,0,0,0,2.670928
2025-01-01 00:51:00.000+0000 [UTC],15.832,0,0,1,0,1,0,0,0,0,1.563492
2025-01-01 00:51:30.000+0000 [UTC],17.462,0,0,1,0,1,0,0,0,0,1.563492
2025-01-01 00:52:00.000+0000 [UTC],5.048,0,0,0,1,0,0,0,0,0,0.951234
2025-01-01 00:52:30.000+0000 [UTC],16.446,0,0,1,0,1,0,0,0,0,1.563492
2025-01-01 00:53:00.000+0000 [UTC],27.277,0,0,1,0,1,0,0,0,0,1.563492
2025-01-01 00:53:30.000+0000 [UTC],61.65,1,0,0,0,0,1,0,0,0,2.558645
2025-01-01 00:54:00.000+0000 [UTC],11.811,0,0,1,0,1,0,0,0,0,1.563492
2025-01-01 00:54:30.000+0000 [UTC],12.345,0,0,1,0,1,0,0,0,0,1.563492
2025-01-01 00:55:00.000+0000 [UTC],11.884,0,0,1,0,1,0,0,0,0,1.563492
2025-01-01 00:55:30.000+0000 [UTC],12.223,0,0,1,0,1,0,0,0,0,1.563492
2025-01-01 00:56:00.000+0000 [UTC],7.824,0,0,0,1,0,0,0,0,0,0.951234
2025-01-01 00:56:30.000+0000 [UTC],125.293,0,1,0,0,0,0,1,0,1,4.786956
2025-01-01 00:57:00.000+0000 [UTC],33.565,1,0,0,0,0,1,0,0,0,2.470346
2025-01-01 00:57:30.000+0000 [UTC],4.841,0,0,0,1,0,0,0,0,0,0.951234
2025-01-01 00:58:00.000+0000 [UTC],108.989,0,1,0,0,0,0,1,1,1,3.668045
2025-01-01 00:58:30.000+0000 [UTC],11.813,0,0,1,0,1,0,0,0,0,1.563492
2025-01-01 00:59:00.000+0000 [UTC],5.905,0,0,0,1,0,0,0,0,0,0.951234
2025-01-01 00:59:30.000+0000 [UTC],20.945,0,0,1,0,1,0,0,0,0,1.563492
2025-01-01 01:00:00.000+0000 [UTC],95.172,0,1,0,0,0,0,1,1,1,3.861717
2025-01-01 01:00:30.000+0000 [UTC],2.875,0,0,0,1,0,0,0,0,0,0.951234
2025-01-01 01:01:00.000+0000 [UTC],22.103,0,0,1,0,1,0,0,0,0,1.563492
2025-01-01 01:01:30.000+0000 [UTC],12.146,0,0,1,0,1,0,0,0,0,1.563492
2025-01-01 01:02:00.000+0000 [UTC],10.838,0,0,1,0,1,0,0,0,0,1.563492
2025-01-01 01:02:30.000+0000 [UTC],17.357,0,0,1,0,1,0,0,0,0,1.563492
2025-01-01 01:03:00.000+0000 [UTC],122.584,0,1,0,0,0,0,1,0,1,3.684624
2025-01-01 01:03:30.000+0000 [UTC],5.857,0,0,0,1,0,0,0,0,0,0.951234
2025-01-01 01:04:00.000+0000 [UTC],12.239,0,0,1,0,1,0,0,0,0,1.563492
2025-01-01 01:04:30.000+0000 [UTC],18.165,0,0,1,0,1,0,0,0,0,1.563492
2025-01-01 01:05:00.000+0000 [UTC],16.015,0,0,1,0,1,0,0,0,0,1.563492
2025-01-01 01:05:30.000+0000 [UTC],7.421,0,0,1,0,1,0,0,0,0,1.563492
2025-01-01 01:06:00.000+0000 [UTC],22.738,0,0,1,0,1,0,0,0,0,1.563492
2025-01-01 01:06:30.000+0000 [UTC],23.979,0,0,1,0,1,0,0,0,0,1.563492
2025-01-01 01:07:00.000+0000 [UTC],4.626,0,0,0,1,0,0,0,0,0,0.951234
2025-01-01 01:07:30.000+0000 [UTC],11.936,0,0,1,0,1,0,0,0,0,1.563492
2025-01-01 01:08:00.000+0000 [UTC],13.061,0,0,1,0,1,0,0,0,0,1.563492
2025-01-01 01:08:30.000+0000 [UTC],49.278,1,0,0,0,0,1,0,0,0,2.630793
2025-01-01 01:09:00.000+0000 [UTC],16.429,0,0,1,0,1,0,0,0,0,1.563492
2025-01-01 01:09:30.000+0000 [UTC],6.971,0,0,0,1,0,0,0,0,0,0.951234
2025-01-01 01:10:00.000+0000 [UTC],7.375,0,0,0,1,0,0,0,0,0,0.951234
2025-01-01 01:10:30.000+0000 [UTC],16.672,0,0,1,0,1,0,0,0,0,1.563492
2025-01-01 01:11:00.000+0000 [UTC],18.293,0,0,1,0,1,0,0,0,0,1.563492
2025-01-01 01:11:30.000+0000 [UTC],25.051,0,0,1,0,1,0,0,0,0,1.563492
2025-01-01 01:12:00.000+0000 [UTC],14.115,0,0,1,0,1,0,0,0,0,1.563492
2025-01-01 01:12:30.000+0000 [UTC],11.009,0,0,1,0,1,0,0,0,0,1.563492
2025-01-01 01:13:00.000+0000 [UTC],40.57,1,0,0,0,0,1,0,0,0,1.740326
2025-01-01 01:13:30.000+0000 [UTC],8.103,0,0,1,0,1,0,0,0,0,1.563492
2025-01-01 01:14:00.000+0000 [UTC],11.345,0,0,1,0,1,0,0,0,0,1.563492
2025-01-01 01:14:30.000+0000 [UTC],14.834,0,0,1,0,1,0,0,0,0,1.563492
2025-01-01 01:15:00.000+0000 [UTC],10.179,0,0,0,1,0,0,0,0,0,0.951234
2025-01-01 01:15:30.000+0000 [UTC],23.973,0,0,1,0,1,0,0,0,0,1.563492
2025-01-01 01:16:00.000+0000 [UTC],12.412,0,0,1,0,1,0,0,0,0,1.563492
2025-01-01 01:16:30.000+0000 [UTC],16.119,0,0,1,0,1,0,0,0,0,1.563492
2025-01-01 01:17:00.000+0000 [UTC],6.159,0,0,0,1,0,0,0,0,0,0.951234
2025-01-01 01:17:30.000+0000 [UTC],14.918,0,0,1,0,1,0,0,0,0,1.563492
2025-01-01 01:18:00.000+0000 [UTC],42.686,1,0,0,0,0,1,0,0,0,2.704621
2025-01-01 01:18:30.000+0000 [UTC],55.285,1,0,0,0,0,1,0,0,0,2.537853
2025-01-01 01:19:00.000+0000 [UTC],20.942,0,0,1,0,1,0,0,0,0,1.563492
2025-01-01 01:19:30.000+0000 [UTC],45.078,1,0,0,0,0,1,0,0,0,2.433258
2025-01-01 01:20:00.000+0000 [UTC],27.635,0,0,1,0,1,0,0,0,0,1.563492
2025-01-01 01:20:30.000+0000 [UTC],45.383,1,0,0,0,0,1,0,0,0,3.114059
2025-01-01 01:21:00.000+0000 [UTC],50.725,1,0,0,0,0,1,0,0,0,2.29752
2025-01-01 01:21:30.000+0000 [UTC],12.346,0,0,1,0,1,0,0,0,0,1.563492
2025-01-01 01:22:00.000+0000 [UTC],12.553,0,0,1,0,1,0,0,0,0,1.563492
2025-01-01 01:22:30.000+0000 [UTC],87.836,0,1,0,0,0,0,1,0,1,3.433765
2025-01-01 01:23:00.000+0000 [UTC],20.221,0,0,1,0,1,0,0,0,0,1.563492
2025-01-01 01:23:30.000+0000 [UTC],18.409,0,0,1,0,1,0,0,0,0,1.563492
2025-01-01 01:24:00.000+0000 [UTC],24.234,0,0,1,0,1,0,0,0,0,1.563492
2025-01-01 01:24:30.000+0000 [UTC],17.92,0,0,1,0,1,0,0,0,0,1.563492
2025-01-01 01:25:00.000+0000 [UTC],36.35,1,0,0,0,0,1,0,0,0,2.379077
2025-01-01 01:25:30.000+0000 [UTC],13.204,0,0,1,0,1,0,0,0,0,1.563492
2025-01-01 01:26:00.000+0000 [UTC],17.953,0,0,1,0,1,0,0,0,0,1.563492
2025-01-01 01:26:30.000+0000 [UTC],20.544,0,0,1,0,1,0,0,0,0,1.563492
2025-01-01 01:27:00.000+0000 [UTC],31.608,1,0,0,0,0,1,0,0,0,3.097466
2025-01-01 01:27:30.000+0000 [UTC],19.102,0,0,1,0,1,0,0,0,0,1.563492
2025-01-01 01:28:00.000+0000 [UTC],29.552,1,0,0,0,0,1,0,0,0,2.250382
2025-01-01 01:28:30.000+0000 [UTC],17.536,0,0,1,0,1,0,0,0,0,1.563492
2025-01-01 01:29:00.000+0000 [UTC],5.652,0,0,0,1,0,0,0,0,0,0.951234
2025-01-01 01:29:30.000+0000 [UTC],20.333,0,0,1,0,1,0,0,0,0,1.563492
2025-01-01 01:30:00.000+0000 [UTC],20.846,0,0,1,0,1,0,0,0,0,1.563492
2025-01-01 01:30:30.000+0000 [UTC],21.911,0,0,1,0,1,0,0,0,0,1.563492
2025-01-01 01:31:00.000+0000 [UTC],5.389,0,0,0,1,0,0,0,0,0,0.951234
2025-01-01 01:31:30.000+0000 [UTC],4.294,0,0,0,1,0,0,0,0,0,0.951234
2025-01-01 01:32:00.000+0000 [UTC],18.244,0,0,1,0,1,0,0,0,0,1.563492
2025-01-01 01:32:30.000+0000 [UTC],20.336,1,0,0,0,0,1,0,0,0,2.334965
2025-01-01 01:33:00.000+0000 [UTC],32.359,0,1,0,0,0,0,1,0,1,6.624771
2025-01-01 01:33:30.000+0000 [UTC],14.164,0,0,1,0,1,0,0,0,0,1.563492
2025-01-01 01:34:00.000+0000 [UTC],15.734,0,0,1,0,1,0,0,0,0,1.563492
2025-01-01 01:34:30.000+0000 [UTC],21.033,0,0,1,0,1,0,0,0,0,1.563492
2025-01-01 01:35:00.000+0000 [UTC],10.915,0,0,1,0,1,0,0,0,0,1.563492
2025-01-01 01:35:30.000+0000 [UTC],5.677,0,0,0,1,0,0,0,0,0,0.951234
2025-01-01 01:36:00.000+0000 [UTC],4.409,0,0,0,1,0,0,0,0,0,0.951234
2025-01-01 01:36:30.000+0000 [UTC],60.562,1,0,0,0,0,1,0,0,0,2.455892
2025-01-01 01:37:00.000+0000 [UTC],16.843,0,0,1,0,1,0,0,0,0,1.563492
2025-01-01 01:37:30.000+0000 [UTC],13.033,0,0,1,0,1,0,0,0,0,1.563492
2025-01-01 01:38:00.000+0000 [UTC],28.968,1,0,0,0,0,1,0,0,0,2.75222
2025-01-01 01:38:30.000+0000 [UTC],5.337,0,0,0,1,0,0,0,0,0,0.951234
2025-01-01 01:39:00.000+0000 [UTC],7.635,0,0,0,1,0,0,0,0,0,0.951234
2025-01-01 01:39:30.000+0000 [UTC],37.787,1,0,0,0,0,1,0,0,0,2.562341
2025-01-01 01:40:00.000+0000 [UTC],37.232,1,0,0,0,0,1,0,0,0,2.112212
2025-01-01 01:40:30.000+0000 [UTC],15.144,0,0,1,0,1,0,0,0,0,1.563492
2025-01-01 01:41:00.000+0000 [UTC],21.392,0,0,1,0,1,0,0,0,0,1.563492
2025-01-01 01:41:30.000+0000 [UTC],2.987,0,0,0,1,0,0,0,0,0,0.951234
2025-01-01 01:42:00.000+0000 [UTC],43.074,1,0,0,0,0,1,0,0,0,2.340349
2025-01-01 01:42:30.000+0000 [UTC],15.955,0,0,1,0,1,0,0,0,0,1.563492
2025-01-01 01:43:00.000+0000 [UTC],15.232,0,0,1,0,1,0,0,0,0,1.563492
2025-01-01 01:43:30.000+0000 [UTC],48.157,1,0,0,0,0,1,0,0,0,2.317794
2025-01-01 01:44:00.000+0000 [UTC],8.201,0,0,1,0,1,0,0,0,0,1.563492
2025-01-01 01:44:30.000+0000 [UTC],18.731,0,0,1,0,1,0,0,0,0,1.563492
2025-01-01 01:45:00.000+0000 [UTC],18.227,0,0,1,0,1,0,0,0,0,1.563492
2025-01-01 01:45:30.000+0000 [UTC],48.605,1,0,0,0,0,1,0,0,0,2.476834
2025-01-01 01:46:00.000+0000 [UTC],34.169,1,0,0,0,0,1,0,0,0,2.627753
2025-01-01 01:46:30.000+0000 [UTC],25.816,0,0,1,0,1,0,0,0,0,1.563492
2025-01-01 01:47:00.000+0000 [UTC],38.329,1,0,0,0,0,1,0,0,0,2.625462
2025-01-01 01:47:30.000+0000 [UTC],13.461,0,0,1,0,1,0,0,0,0,1.563492
2025-01-01 01:48:00.000+0000 [UTC],16.096,0,0,1,0,1,0,0,0,0,1.563492
2025-01-01 01:48:30.000+0000 [UTC],42.826,1,0,0,0,0,1,0,0,0,1.967196
2025-01-01 01:49:00.000+0000 [UTC],37.513,1,0,0,0,0,1,0,0,0,2.819182
2025-01-01 01:49:30.000+0000 [UTC],133.097,0,1,0,0,0,0,0,0,0,5.831339
2025-01-01 01:50:00.000+0000 [UTC],56.073,1,0,0,0,0,1,0,0,0,2.575771
2025-01-01 01:50:30.000+0000 [UTC],16.247,0,0,1,0,1,0,0,0,0,1.563492
2025-01-01 01:51:00.000+0000 [UTC],22.887,0,0,1,0,1,0,0,0,0,1.563492
2025-01-01 01:51:30.000+0000 [UTC],14.524,0,0,1,0,1,0,0,0,0,1.563492
2025-01-01 01:52:00.000+0000 [UTC],16.395,0,0,1,0,1,0,0,0,0,1.563492
2025-01-01 01:52:30.000+0000 [UTC],18.039,0,0,1,0,1,0,0,0,0,1.563492
2025-01-01 01:53:00.000+0000 [UTC],7.28,0,0,0,1,0,0,0,0,0,0.951234
2025-01-01 01:53:30.000+0000 [UTC],15.933,0,0,1,0,1,0,0,0,0,1.563492
2025-01-01 01:54:00.000+0000 [UTC],7.634,0,0,0,1,0,0,0,0,0,0.951234
2025-01-01 01:54:30.000+0000 [UTC],44.91,1,0,0,0,0,1,0,0,0,2.91536
2025-01-01 01:55:00.000+0000 [UTC],47.349,1,0,0,0,0,1,0,0,0,2.633259
2025-01-01 01:55:30.000+0000 [UTC],12.768,0,0,1,0,1,0,0,0,0,1.563492
2025-01-01 01:56:00.000+0000 [UTC],15.97,0,0,1,0,1,0,0,0,0,1.563492
2025-01-01 01:56:30.000+0000 [UTC],20.368,0,0,1,0,1,0,0,0,0,1.563492
2025-01-01 01:57:00.000+0000 [UTC],9.867,0,0,1,0,1,0,0,0,0,1.563492
2025-01-01 01:57:30.000+0000 [UTC],46.629,1,0,0,0,0,1,0,0,0,2.830397
2025-01-01 01:58:00.000+0000 [UTC],15.665,0,0,1,0,1,0,0,0,0,1.563492
2025-01-01 01:58:30.000+0000 [UTC],11.499,0,0,1,0,1,0,0,0,0,1.563492
2025-01-01 01:59:00.000+0000 [UTC],51.735,1,0,0,0,0,1,0,0,0,2.639964
2025-01-01 01:59:30.000+0000 [UTC],20.975,0,0,1,0,1,0,0,0,0,1.563492
2025-01-01 02:00:00.000+0000 [UTC],4.764,0,0,0,1,0,0,0,0,0,0.951234
2025-01-01 02:00:30.000+0000 [UTC],0.756,0,0,0,1,0,0,0,0,0,0.951234
2025-01-01 02:01:00.000+0000 [UTC],3.784,0,0,0,1,0,0,0,0,0,0.951234
2025-01-01 02:01:30.000+0000 [UTC],7.384,0,0,1,0,1,0,0,0,0,1.563492
2025-01-01 02:02:00.000+0000 [UTC],12.205,0,0,1,0,1,0,0,0,0,1.563492
2025-01-01 02:02:30.000+0000 [UTC],7.594,0,0,0,1,0,0,0,0,0,0.951234
2025-01-01 02:03:00.000+0000 [UTC],16.886,0,0,1,0,1,0,0,0,0,1.563492
2025-01-01 02:03:30.000+0000 [UTC],4.954,0,0,0,1,0,0,0,0,0,0.951234
2025-01-01 02:04:00.000+0000 [UTC],3.001,0,0,0,1,0,0,0,0,0,0.951234
2025-01-01 02:04:30.000+0000 [UTC],3.99,0,0,0,1,0,0,0,0,0,0.951234
2025-01-01 02:05:00.000+0000 [UTC],22.828,0,0,1,0,1,0,0,0,0,1.563492
2025-01-01 02:05:30.000+0000 [UTC],14.671,0,0,1,0,1,0,0,0,0,1.563492
2025-01-01 02:06:00.000+0000 [UTC],6.681,0,0,0,1,0,0,0,0,0,0.951234
2025-01-01 02:06:30.000+0000 [UTC],12.224,0,0,1,0,1,0,0,0,0,1.563492
2025-01-01 02:07:00.000+0000 [UTC],24.406,0,0,1,0,1,0,0,0,0,1.563492
2025-01-01 02:07:30.000+0000 [UTC],7.76,0,0,1,0,1,0,0,0,0,1.563492
2025-01-01 02:08:00.000+0000 [UTC],6.093,0,0,0,1,0,0,0,0,0,0.951234
2025-01-01 02:08:30.000+0000 [UTC],41.81,1,0,0,0,0,1,0,0,0,2.903868
2025-01-01 02:09:00.000+0000 [UTC],4.006,0,0,1,0,1,0,0,0,0,1.563492
2025-01-01 02:09:30.000+0000 [UTC],17.2,0,0,1,0,1,0,0,0,0,1.563492
2025-01-01 02:10:00.000+0000 [UTC],27.032,1,0,0,0,0,1,0,0,0,2.656675
2025-01-01 02:10:30.000+0000 [UTC],4.522,0,0,0,1,0,0,0,0,0,0.951234
2025-01-01 02:11:00.000+0000 [UTC],12.49,0,0,1,0,1,0,0,0,0,1.563492
2025-01-01 02:11:30.000+0000 [UTC],9.894,0,0,1,0,1,0,0,0,0,1.563492
2025-01-01 02:12:00.000+0000 [UTC],4.266,0,0,0,1,0,0,0,0,0,0.951234
2025-01-01 02:12:30.000+0000 [UTC],43.997,1,0,0,0,0,1,0,0,0,2.470625
2025-01-01 02:13:00.000+0000 [UTC],33.486,1,0,0,0,0,1,0,0,0,3.18173
2025-01-01 02:13:30.000+0000 [UTC],34.714,1,0,0,0,0,1,0,0,0,2.766711
2025-01-01 02:14:00.000+0000 [UTC],18.542,0,0,1,0,1,0,0,0,0,1.563492
2025-01-01 02:14:30.000+0000 [UTC],16.219,0,0,1,0,1,0,0,0,0,1.563492
2025-01-01 02:15:00.000+0000 [UTC],147.118,0,1,0,0,0,0,1,0,1,6.420368
2025-01-01 02:15:30.000+0000 [UTC],49.112,0,1,0,0,0,0,0,0,0,3.277105
2025-01-01 02:16:00.000+0000 [UTC],4.216,0,0,0,1,0,0,0,0,0,0.951234
2025-01-01 02:16:30.000+0000 [UTC],3.155,0,0,0,1,0,0,0,0,0,0.951234
2025-01-01 02:17:00.000+0000 [UTC],12.18,0,0,1,0,1,0,0,0,0,1.563492
2025-01-01 02:17:30.000+0000 [UTC],8.598,0,0,1,0,1,0,0,0,0,1.563492
2025-01-01 02:18:00.000+0000 [UTC],45.864,1,0,0,0,0,1,0,0,0,2.672123
